UID          PID    PPID  C STIME TTY          TIME CMD
ubuntu    361667  361618  0 16:29 ?        00:00:00 timeout 2400 /home/ubuntu/chipyard/.conda-env/riscv-tools/bin/riscv64-unknown-linux-gnu-gdb -q -x /home/ubuntu/chipyard/tmp/firesim-aws-f2/gdbserver-tests/pairdummy-cfg32-marker-stop-20260507T162936Z-192_168_1_202-172_16_0_2/pairdummy-cfg32-marker-stop.gdb /home/ubuntu/chipyard/generators/gemmini/software/gemmini-rocc-tests/build/rerocc-linux-tests/rerocc_pipeline_runtime-linux
ubuntu    361668  361618  0 16:29 ?        00:00:00 tee /home/ubuntu/chipyard/tmp/firesim-aws-f2/gdbserver-tests/pairdummy-cfg32-marker-stop-20260507T162936Z-192_168_1_202-172_16_0_2/pairdummy-cfg32-marker-stop.gdb.log
ubuntu    361669  361667  0 16:29 ?        00:00:00 /home/ubuntu/chipyard/.conda-env/riscv-tools/bin/riscv64-unknown-linux-gnu-gdb -q -x /home/ubuntu/chipyard/tmp/firesim-aws-f2/gdbserver-tests/pairdummy-cfg32-marker-stop-20260507T162936Z-192_168_1_202-172_16_0_2/pairdummy-cfg32-marker-stop.gdb /home/ubuntu/chipyard/generators/gemmini/software/gemmini-rocc-tests/build/rerocc-linux-tests/rerocc_pipeline_runtime-linux
root      361756       2  0 16:30 ?        00:00:00 [kworker/7:2-cgroup_release]
root      362861       2  0 16:34 ?        00:00:00 [kworker/u32:1-events_unbound]
root      362874       2  0 16:34 ?        00:00:00 [kworker/2:0]
root      362875 3208413  0 16:34 ?        00:00:00 sshd: ubuntu [priv]
ubuntu    363224  362875  0 16:34 ?        00:00:00 sshd: ubuntu@notty
ubuntu    363225  363224  0 16:34 ?        00:00:00 -bash
ubuntu    363242  363225  0 16:34 ?        00:00:00 bash
root      363975       2  0 16:37 ?        00:00:00 [kworker/u32:3-events_power_efficient]
root      364524       2  0 16:40 ?        00:00:00 [kworker/7:1-mm_percpu_wq]
ubuntu    365105 3442780  1 16:44 ?        00:00:00 /bin/bash -c set -euo pipefail stamp=20260507T164900Z base=generators/gemmini/software/gemmini-rocc-tests/pipeline-runtime/debug_records/artifacts/${stamp}_dummy8x8_sbus64_token548_marker_init_stall mkdir -p "$base" "$base/gdb" "$base/manager" "$base/guest" "$base/runhost" cp -a tmp/firesim-aws-f2/gdbserver-tests/pairdummy-cfg32-marker-stop-20260507T162936Z-192_168_1_202-172_16_0_2/. "$base/gdb/" cp -a tmp/firesim-aws-f2/tmux/pairdummy-sbus64-dummy8x8-gdbserver-cfg32-nic-notrace-runworkload-20260507-161937.pane.log "$base/manager/runworkload.pane.log" 2>/dev/null || true cp -a tmp/firesim-aws-f2/tmux/pairdummy-sbus64-dummy8x8-gdbserver-cfg32-nic-notrace-runworkload-20260507-161937.watchdog.log "$base/manager/runworkload.watchdog.log" 2>/dev/null || true cp -a tmp/firesim-aws-f2/tmux/pairdummy-sbus64-dummy8x8-gdbserver-cfg32-nic-notrace-runworkload-20260507-161937.command.sh "$base/manager/runworkload.command.sh" 2>/dev/null || true aws ec2 describe-instances --filters Name=instance-id,Values=i-02d10994a4bf7d2af --output json > "$base/aws-instance.json" ss -tnpi > "$base/local-ss-tnpi.txt" || true ps -ef > "$base/local-ps-ef.txt" || true scp -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -i /home/ubuntu/firesim.pem ubuntu@192.168.1.202:/home/ubuntu/sim_slot_0/heartbeat.csv "$base/runhost/heartbeat.csv" || true scp -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -i /home/ubuntu/firesim.pem ubuntu@192.168.1.202:/home/ubuntu/sim_slot_0/uartlog "$base/runhost/uartlog" || true scp -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -i /home/ubuntu/firesim.pem ubuntu@192.168.1.202:/home/ubuntu/sim_slot_0/niclog0 "$base/runhost/niclog0" || true ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -i /home/ubuntu/firesim.pem ubuntu@192.168.1.202 ' date -u ps -p 4401 -o pid,stat,pcpu,pmem,etime,time,wchan:32,cmd || true stat -c "heartbeat %s %Y %y" /home/ubuntu/sim_slot_0/heartbeat.csv 2>/dev/null || true tail -1 /home/ubuntu/sim_slot_0/heartbeat.csv 2>/dev/null || true ss -tnpi || true ip neigh show dev tap0 || true ip -s link show tap0 || true ' > "$base/runhost/state.txt" 2>&1 || true ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -i /home/ubuntu/firesim.pem ubuntu@192.168.1.202 ' img=$(ls /home/ubuntu/sim_slot_0/*rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8*.img 2>/dev/null | head -n 1) if [ -n "$img" ]; then   for src in \     /root/pipeline-runtime-debug/bertmini-batch8.log \     /root/pipeline-runtime-debug/bertmini-batch8.deep.log \     /root/pipeline-runtime-debug/bertmini-batch8.audit.log \     /root/pipeline-runtime-debug/bertmini-batch8.checkpoint.log \     /root/pipeline-runtime-debug/bertmini-batch8.gdbserver.info \     /root/pipeline-runtime-debug/bertmini-batch8.gdbserver.log \     /root/pipeline-runtime-debug/bertmini-batch8.runner-early.stage \     /root/pipeline-runtime-debug/bertmini-batch8.runner.stage \     /root/pipeline-runtime-debug/bertmini-batch8.runner-proc.stage \     /root/pipeline-runtime-debug/bertmini-batch8.wrapper.stage \     /root/pipeline-runtime-debug/bertmini-batch8.wrapper-proc.stage \     /root/pipeline-runtime-debug/bertmini-batch8.status; do       name=$(basename "$src")       sudo debugfs -R "cat $src" "$img" > "/tmp/$name" 2>/tmp/debugfs-$name.err || true   done   sudo debugfs -R "dump -p /root/pipeline-runtime-debug/bertmini-batch8.breadcrumb.bin /tmp/bertmini-batch8.breadcrumb.bin" "$img" >/tmp/debugfs-breadcrumb.err 2>&1 || true fi ' || true for name in bertmini-batch8.log bertmini-batch8.deep.log bertmini-batch8.audit.log bertmini-batch8.checkpoint.log bertmini-batch8.gdbserver.info bertmini-batch8.gdbserver.log bertmini-batch8.runner-early.stage bertmini-batch8.runner.stage bertmini-batch8.runner-proc.stage bertmini-batch8.wrapper.stage bertmini-batch8.wrapper-proc.stage bertmini-batch8.status bertmini-batch8.breadcrumb.bin; do   scp -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -i /home/ubuntu/firesim.pem ubuntu@192.168.1.202:/tmp/$name "$base/guest/$name" >/dev/null 2>&1 || true done python3 generators/gemmini/software/gemmini-rocc-tests/pipeline-runtime/scripts/decode_prt_breadcrumb.py "$base/guest/bertmini-batch8.breadcrumb.bin" --all > "$base/guest/breadcrumb.decode.txt" 2>&1 || true printf '%s\n' "$base"
ubuntu    365134  365105  0 16:44 ?        00:00:00 ps -ef
root     1405934       1  0 Apr22 ?        00:02:39 /snap/snapd/current/usr/lib/snapd/snapd
root     1546403       1  0 Apr22 ?        00:00:29 /usr/sbin/irqbalance
root     1546409       1  0 Apr22 ?        00:00:57 /sbin/multipathd -d -s
root     1546431       1  0 Apr22 ?        00:00:01 /usr/libexec/upowerd
_chrony  1546440       1  0 Apr22 ?        00:00:16 /usr/sbin/chronyd -F 1
_chrony  1546442 1546440  0 Apr22 ?        00:00:00 /usr/sbin/chronyd -F 1
syslog   1546462       1  0 Apr22 ?        00:00:05 /usr/sbin/rsyslogd -n -iNONE
polkitd  1546469       1  0 Apr22 ?        00:00:20 /usr/lib/polkit-1/polkitd --no-debug
root     1546495       1  0 Apr22 ?        00:00:04 /usr/sbin/ModemManager
root     1635240       2  0 Apr29 ?        00:00:00 [kworker/R-ib-comp-wq]
root     1635241       2  0 Apr29 ?        00:00:00 [kworker/R-ib-comp-unb-wq]
root     1635242       2  0 Apr29 ?        00:00:00 [kworker/R-ib_mcast]
root     1635243       2  0 Apr29 ?        00:00:00 [kworker/R-ib_nl_sa_wq]
ubuntu   1890816    1304  0 May04 pts/0    00:00:00 -bash
ubuntu   2515504 3789418  0 May05 pts/4    00:00:00 tmux a -t wzy-142
root     3208413       1  0 May01 ?        00:00:00 sshd: /usr/sbin/sshd -D -o AuthorizedKeysCommand /usr/share/ec2-instance-connect/eic_run_authorized_keys %u %f -o AuthorizedKeysCommandUser ec2-instance-connect [listener] 0 of 10-100 startups
ubuntu   3216536    1305  0 May01 pts/1    00:00:01 node /usr/local/bin/codex resume 019dc279-4d6c-7091-86ab-253b48609406 --dangerously-bypass-approvals-and-sandbox
ubuntu   3216547 3216536  1 May01 pts/1    02:39:27 /usr/local/lib/node_modules/@openai/codex/node_modules/@openai/codex-linux-x64/vendor/x86_64-unknown-linux-musl/codex/codex resume 019dc279-4d6c-7091-86ab-253b48609406 --dangerously-bypass-approvals-and-sandbox
ubuntu   3442769 1890816  0 May06 pts/0    00:00:00 node /usr/local/bin/codex --dangerously-bypass-approvals-and-sandbox resume 019df2db-948b-7961-ba2a-dfec54a5dd5b
ubuntu   3442780 3442769  2 May06 pts/0    00:41:44 /usr/local/lib/node_modules/@openai/codex/node_modules/@openai/codex-linux-x64/vendor/x86_64-unknown-linux-musl/codex/codex --dangerously-bypass-approvals-and-sandbox resume 019df2db-948b-7961-ba2a-dfec54a5dd5b
ubuntu   3458680 3789380  0 May06 pts/6    00:00:00 /usr/bin/bash --init-file /home/ubuntu/.vscode-server/bin/072586267e68ece9a47aa43f8c108e0dcbf44622/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
