    PID    PPID STAT     ELAPSED CMD
    239       2 S          03:17 [irq/68-pciehp]
    240       2 I<         03:17 [kworker/R-acpi_]
    241       2 I          03:17 [kworker/2:2-rcu_par_gp]
    242       2 I<         03:17 [kworker/R-nvme-]
    243       2 I<         03:17 [kworker/R-nvme-]
    244       2 I<         03:17 [kworker/R-nvme-]
    245       2 I<         03:17 [kworker/R-nvme-]
    246       2 I          03:17 [kworker/u49:3-nvme-wq]
    247       2 I          03:17 [kworker/0:3-events]
    248       2 I          03:17 [kworker/u49:4]
    249       2 I          03:17 [kworker/0:4]
    250       2 I          03:17 [kworker/2:3]
    251       2 I<         03:17 [kworker/R-mld]
    252       2 I<         03:17 [kworker/2:1H-kblockd]
    253       2 I<         03:17 [kworker/R-ipv6_]
    260       2 I<         03:17 [kworker/R-kstrp]
    261       2 I          03:17 [kworker/14:1-events]
    262       2 I          03:17 [kworker/3:1-events]
    263       2 I          03:17 [kworker/6:1-cgroup_destroy]
    264       2 I          03:17 [kworker/10:1-events]
    265       2 I          03:17 [kworker/4:1-events]
    266       2 I          03:17 [kworker/16:1-events]
    267       2 I          03:17 [kworker/21:1-rcu_par_gp]
    268       2 I          03:17 [kworker/5:1-cgroup_destroy]
    269       2 I          03:17 [kworker/9:1-events]
    270       2 I          03:17 [kworker/13:1-events]
    271       2 I          03:17 [kworker/18:1-events]
    272       2 I          03:17 [kworker/22:1-rcu_gp]
    274       2 I<         03:17 [kworker/u52:0]
    275       2 I<         03:17 [kworker/u53:0]
    276       2 I<         03:17 [kworker/u54:0]
    277       2 I<         03:17 [kworker/u55:0]
    281       2 I          03:17 [kworker/u50:1-writeback]
    288       2 I          03:17 [kworker/u51:1-loop4]
    292       2 I<         03:17 [kworker/R-charg]
    293       2 I          03:17 [kworker/8:1-events]
    294       2 I          03:17 [kworker/7:1-events]
    295       2 I          03:17 [kworker/11:1-events]
    296       2 I          03:17 [kworker/17:1-events]
    297       2 I          03:17 [kworker/19:1-events]
    298       2 I          03:17 [kworker/23:1-rcu_par_gp]
    299       2 S          03:17 [jbd2/nvme0n1p1-8]
    300       2 I<         03:17 [kworker/R-ext4-]
    301       2 I          03:17 [kworker/3:2-events]
    302       2 I          03:16 [kworker/1:2-mm_percpu_wq]
    303       2 I<         03:16 [kworker/1:1H-kblockd]
    305       2 I<         03:16 [kworker/4:1H-kblockd]
    306       2 I<         03:16 [kworker/14:1H]
    331       2 I<         03:16 [kworker/6:1H-kblockd]
    335       2 I<         03:16 [kworker/21:1H-kblockd]
    338       2 I<         03:16 [kworker/3:1H-kblockd]
    340       2 I<         03:16 [kworker/22:1H-kblockd]
    345       2 I          03:16 [kworker/21:2-events]
    348       2 I<         03:15 [kworker/8:1H-kblockd]
    350       2 I<         03:15 [kworker/5:1H-kblockd]
    353       2 I<         03:15 [kworker/12:1H-kblockd]
    355       1 S<s        03:15 /usr/lib/systemd/systemd-journald
    371       2 I          03:15 [kworker/4:2-cgroup_destroy]
    372       2 I<         03:15 [kworker/11:1H-kblockd]
    376       2 I<         03:15 [kworker/17:1H-kblockd]
    379       2 I<         03:15 [kworker/13:1H-kblockd]
    380       2 I<         03:15 [kworker/10:1H-kblockd]
    381       2 I<         03:15 [kworker/R-kmpat]
    382       2 I<         03:15 [kworker/R-kmpat]
    383       2 I          03:15 [kworker/8:2-cgroup_destroy]
    384       2 I<         03:15 [kworker/20:1H-kblockd]
    385       2 I<         03:15 [kworker/9:1H-kblockd]
    386       2 I          03:15 [kworker/22:2-rcu_par_gp]
    387       2 I          03:15 [kworker/u50:2-events_unbound]
    390       2 I          03:15 [kworker/5:2-cgroup_destroy]
    391       2 I<         03:15 [kworker/15:1H-kblockd]
    398       2 I          03:15 [kworker/11:2]
    400       2 I          03:15 [kworker/20:2-events]
    411       2 I<         03:15 [kworker/23:1H-kblockd]
    430       1 SLsl       03:15 /sbin/multipathd -d -s
    432       2 I          03:15 [kworker/12:2-rcu_par_gp]
    436       1 Ss         03:15 /usr/lib/systemd/systemd-udevd
    446       2 I<         03:15 [kworker/7:1H-kblockd]
    448       2 S          03:15 [psimon]
    465       2 I<         03:15 [kworker/18:1H-kblockd]
    485       2 I<         03:15 [kworker/19:1H-kblockd]
    497       2 I<         03:15 [kworker/16:1H-kblockd]
    501       2 I          03:15 [kworker/7:2-cgroup_destroy]
    502       2 I          03:15 [kworker/6:2-mm_percpu_wq]
    543       2 I          03:15 [kworker/u51:2]
    545       2 I          03:15 [kworker/u51:3-writeback]
    558       2 I<         03:15 [kworker/R-crypt]
    564       2 I          03:15 [kworker/15:2-rcu_par_gp]
    565       2 I          03:15 [kworker/15:3]
    567       2 I<         03:15 [kworker/R-ena]
    569       2 I          03:15 [kworker/13:2-cgroup_destroy]
    573       2 I          03:15 [kworker/23:2]
    593       2 I          03:15 [kworker/17:2]
    611       2 I          03:15 [kworker/5:3-mm_percpu_wq]
    616       2 S          03:14 [jbd2/nvme0n1p16-8]
    617       2 I<         03:14 [kworker/R-ext4-]
    619       2 S          03:14 [jbd2/nvme1n1-8]
    620       2 I<         03:14 [kworker/R-ext4-]
    636       2 I          03:14 [kworker/10:2-events]
    758       2 I          03:14 [kworker/3:3-events]
    765       1 Ss         03:14 /usr/lib/systemd/systemd-resolved
    812       2 I          03:12 [kworker/9:2-rcu_par_gp]
    817       1 Ss         03:12 /usr/lib/systemd/systemd-networkd
    856       1 Ss         03:12 /usr/sbin/acpid
