    PID    PPID STAT     ELAPSED CMD
    226       2 S          15:54 [irq/56-pciehp]
    227       2 S          15:54 [irq/57-pciehp]
    228       2 S          15:54 [irq/58-pciehp]
    229       2 S          15:54 [irq/59-pciehp]
    230       2 S          15:54 [irq/60-pciehp]
    231       2 S          15:54 [irq/61-pciehp]
    232       2 S          15:54 [irq/62-pciehp]
    233       2 S          15:54 [irq/63-pciehp]
    234       2 S          15:54 [irq/64-pciehp]
    235       2 S          15:54 [irq/65-pciehp]
    236       2 S          15:54 [irq/66-pciehp]
    237       2 S          15:54 [irq/67-pciehp]
    238       2 S          15:54 [irq/68-pciehp]
    239       2 I<         15:54 [kworker/R-acpi_]
    240       2 I<         15:54 [kworker/R-nvme-]
    241       2 I<         15:54 [kworker/R-nvme-]
    242       2 I<         15:54 [kworker/R-nvme-]
    243       2 I<         15:54 [kworker/R-nvme-]
    244       2 I          15:54 [kworker/u49:3-events_power_efficient]
    246       2 I          15:54 [kworker/u49:4-writeback]
    249       2 I          15:54 [kworker/3:1-mm_percpu_wq]
    250       2 I          15:54 [kworker/14:1-cgroup_destroy]
    253       2 I<         15:54 [kworker/R-mld]
    254       2 I<         15:54 [kworker/13:1H-kblockd]
    255       2 I<         15:54 [kworker/R-ipv6_]
    262       2 I<         15:54 [kworker/R-kstrp]
    264       2 I          15:54 [kworker/4:1-events]
    265       2 I          15:54 [kworker/8:1-mm_percpu_wq]
    266       2 I          15:54 [kworker/11:1-mm_percpu_wq]
    267       2 I          15:54 [kworker/16:1-mm_percpu_wq]
    268       2 I          15:54 [kworker/20:1-cgroup_destroy]
    269       2 I          15:54 [kworker/5:1-mm_percpu_wq]
    270       2 I          15:54 [kworker/9:1-cgroup_destroy]
    272       2 I          15:54 [kworker/18:1-rcu_par_gp]
    273       2 I          15:54 [kworker/22:1-cgroup_destroy]
    275       2 I          15:54 [kworker/7:1-events]
    276       2 I<         15:54 [kworker/u52:0]
    277       2 I<         15:54 [kworker/u53:0]
    278       2 I<         15:54 [kworker/u54:0]
    279       2 I<         15:54 [kworker/u55:0]
    283       2 I          15:54 [kworker/u50:1-flush-259:0]
    294       2 I<         15:54 [kworker/R-charg]
    296       2 I          15:53 [kworker/6:1-events]
    300       2 I          15:53 [kworker/19:1-mm_percpu_wq]
    301       2 S          15:53 [jbd2/nvme0n1p1-8]
    302       2 I<         15:53 [kworker/R-ext4-]
    303       2 I          15:50 [kworker/8:2-cgroup_destroy]
    304       2 I<         15:50 [kworker/8:1H-kblockd]
    305       2 I<         15:49 [kworker/2:1H-kblockd]
    306       2 I<         15:49 [kworker/3:1H-kblockd]
    307       2 I<         15:49 [kworker/12:1H-kblockd]
    308       2 I<         15:49 [kworker/0:1H-kblockd]
    310       2 I<         15:48 [kworker/7:1H-kblockd]
    311       2 I<         15:48 [kworker/9:1H-kblockd]
    333       2 I<         15:48 [kworker/23:1H-kblockd]
    336       2 I<         15:48 [kworker/6:1H-kblockd]
    344       2 I<         15:47 [kworker/5:1H-kblockd]
    345       2 I<         15:47 [kworker/14:1H-kblockd]
    351       2 I<         15:45 [kworker/18:1H-kblockd]
    357       2 I<         15:45 [kworker/19:1H-kblockd]
    359       1 S<s        15:45 /usr/lib/systemd/systemd-journald
    370       2 I<         15:45 [kworker/16:1H-kblockd]
    371       2 I<         15:45 [kworker/20:1H-kblockd]
    378       2 I          15:45 [kworker/u50:2-events_power_efficient]
    384       2 I<         15:45 [kworker/22:1H-kblockd]
    390       2 I          15:45 [kworker/9:2-cgroup_destroy]
    409       2 I<         15:45 [kworker/R-kmpat]
    410       2 I<         15:45 [kworker/R-kmpat]
    414       2 I<         15:45 [kworker/10:1H-kblockd]
    419       2 I          15:44 [kworker/10:2-events]
    427       1 SLsl       15:44 /sbin/multipathd -d -s
    429       2 I<         15:44 [kworker/15:1H-kblockd]
    432       1 Ss         15:44 /usr/lib/systemd/systemd-udevd
    433       2 I<         15:44 [kworker/17:1H-kblockd]
    434       2 I          15:44 [kworker/17:2-mm_percpu_wq]
    452       2 S          15:44 [psimon]
    461       2 I<         15:44 [kworker/4:1H-kblockd]
    472       2 I<         15:44 [kworker/11:1H-kblockd]
    498       2 I<         15:44 [kworker/21:1H-kblockd]
    538       2 I          15:44 [kworker/18:2-mm_percpu_wq]
    541       2 I<         15:44 [kworker/R-crypt]
    566       2 I<         15:43 [kworker/R-ena]
    568       2 S          15:43 [jbd2/nvme1n1-8]
    569       2 I<         15:43 [kworker/R-ext4-]
    576       2 I          15:43 [kworker/21:2-events]
    586       2 I          15:43 [kworker/23:2-cgroup_destroy]
    619       2 S          15:43 [jbd2/nvme0n1p16-8]
    620       2 I<         15:43 [kworker/R-ext4-]
    652       1 Ss         15:42 /usr/lib/systemd/systemd-resolved
    653       2 I          15:42 [kworker/5:3-cgroup_destroy]
    873       1 Ss         15:34 /usr/lib/systemd/systemd-networkd
    937       2 I          15:31 [kworker/u50:5-events_unbound]
    947       2 I          15:31 [kworker/u51:3-flush-259:0]
    979       1 Ss         15:29 /usr/sbin/acpid
    982       1 Ss         15:29 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    988       1 Ssl        15:29 /usr/sbin/irqbalance
    990       1 Ss         15:29 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
    993       1 Ssl        15:29 /usr/lib/polkit-1/polkitd --no-debug
    997       1 Ssl        15:29 /usr/lib/snapd/snapd
    999       1 Ss         15:29 /usr/lib/systemd/systemd-logind
   1000       1 Ssl        15:29 /usr/libexec/udisks2/udisksd
   1003       2 I          15:29 [kworker/16:2-rcu_par_gp]
   1021       1 Ssl        15:29 /usr/sbin/rsyslogd -n -iNONE
   1047       1 Ssl        15:29 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   1081       1 Ss         15:28 /usr/sbin/cron -f -P
   1087       1 Ss+        15:28 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
   1094       1 Ss+        15:28 /sbin/agetty -o -p -- \u --noclear - linux
   1098       1 Ssl        15:28 /usr/sbin/ModemManager
   1104       1 S          15:28 /usr/sbin/chronyd -F 1
   1138    1104 S          15:28 /usr/sbin/chronyd -F 1
   1287       2 I          15:27 [kworker/12:2-cgroup_destroy]
   1350       2 I          15:24 [kworker/u51:4-flush-259:0]
   1473       1 Ss         15:21 sshd: /usr/sbin/sshd -D -o AuthorizedKeysCommand /usr/share/ec2-instance-connect/eic_run_authorized_keys %u %f -o AuthorizedKeysCommandUser ec2-instance-connect [listener] 0 of 10-100 startups
   1483       1 Ss         15:21 /usr/lib/systemd/systemd --user
   1484    1483 S          15:21 (sd-pam)
   1744       2 I<         15:15 [kworker/R-tls-s]
   2222       2 I          14:58 [kworker/u51:6-writeback]
   2229       2 I          14:58 [kworker/11:2-cgroup_destroy]
   2234       2 I          14:58 [kworker/2:7-cgroup_destroy]
   2707       2 I          14:50 [kworker/4:2]
   2982       2 S          14:46 [psimon]
   2986       1 Ssl        14:46 /snap/amazon-ssm-agent/13009/amazon-ssm-agent
   3564       1 Ss         12:44 SCREEN -S virtual_jtag -d -m bash -c script -f -c 'sudo fpga-start-virtual-jtag -P 10201 -S 0'
   3565    3564 Ss+        12:44 script -f -c sudo fpga-start-virtual-jtag -P 10201 -S 0
   3566    3565 Ss+        12:44 sudo fpga-start-virtual-jtag -P 10201 -S 0
   3568    3566 Ss         12:44 sudo fpga-start-virtual-jtag -P 10201 -S 0
   3569    3568 S+         12:44 bash /usr/local/bin/fpga-start-virtual-jtag -P 10201 -S 0
   3570    3569 S+         12:44 fpga-local-cmd StartVirtualJtag -P 10201 -S 0
   4212       1 Ss         11:32 SCREEN -S switch0 -d -m bash -c sudo pkill -x hw_server || true; sudo ip tuntap add mode tap dev tap0 user ubuntu || true; sudo ip link set dev tap0 down || true; sudo ip link set dev tap0 address 8e:6b:35:04:00:00; sudo ip addr flush dev tap0 || true; sudo ip addr add 172.16.0.1/16 dev tap0; sudo ip link set dev tap0 up; sudo sysctl -w net.ipv6.conf.tap0.disable_ipv6=1; script -f -c 'sudo ./switch0 6405 10 200' switchlog
   4213    4212 Ss+        11:32 script -f -c sudo ./switch0 6405 10 200 switchlog
   4246    4213 Ss+        11:31 sudo ./switch0 6405 10 200
   4247    4246 Ss         11:31 sudo ./switch0 6405 10 200
   4248    4247 Rl+        11:31 ./switch0 6405 10 200
   4397       1 Ss         11:23 SCREEN -S fsim0 -d -m bash -c script -f -c 'stty intr ^] && sudo ./FireSim-f2 +permissive   +macaddr0=00:12:6D:00:00:02 +blkdev0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver.img +niclog0=niclog0 +blkdev-log0=blkdev-log0 +dwarf-file-name=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin-dwarf +autocounter-readrate=0 +autocounter-filename-base=AUTOCOUNTERFILE  +print-start=0 +print-end=-1 +linklatency0=6405 +netbw0=200 +shmemportname0=0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 +simplenic-relaxed-required-bytes=1 +simplenic-empty-switch-poll-interval=1024 +simplenic-token-debug=0 +cpu-managed-stream-debug=0 +heartbeat-polling-interval=100000000 +slotid=0 +permissive-off +prog0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin   && stty intr ^c' uartlog
   4399    4397 Ss+        11:23 script -f -c stty intr ^] && sudo ./FireSim-f2 +permissive   +macaddr0=00:12:6D:00:00:02 +blkdev0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver.img +niclog0=niclog0 +blkdev-log0=blkdev-log0 +dwarf-file-name=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin-dwarf +autocounter-readrate=0 +autocounter-filename-base=AUTOCOUNTERFILE  +print-start=0 +print-end=-1 +linklatency0=6405 +netbw0=200 +shmemportname0=0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 +simplenic-relaxed-required-bytes=1 +simplenic-empty-switch-poll-interval=1024 +simplenic-token-debug=0 +cpu-managed-stream-debug=0 +heartbeat-polling-interval=100000000 +slotid=0 +permissive-off +prog0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin   && stty intr ^c uartlog
